Country,Population
Belgium,"11,455,519"
Bulgaria,"7,000,039"
Czechia,"10,649,800"
Denmark,"5,806,081"
Germany,"83,019,213"
Estonia,"1,324,820"
Ireland,"4,904,240"
Greece,"10,724,599"
Spain,"46,937,060"
France,"67,290,471"
Croatia,"4,076,246"
Italy,"59,816,673"
Cyprus,"875,899"
Latvia,"1,919,968"
Lithuania,"2,794,184"
Luxembourg,"613,894"
Hungary,"9,772,756"
Malta,"493,559"
Netherlands,"17,282,163"
Austria,"8,858,775"
Poland,"37,972,812"
Portugal,"10,276,617"
Romania,"19,414,458"
Slovenia,"2,080,908"
Slovakia,"5,450,421"
Finland,"5,517,919"
Sweden,"10,230,185"
Iceland,"356,991"
Liechtenstein,"38,378"
Norway,"5,328,212"
Switzerland,"8,544,527"
United Kingdom,"66,647,112"
Montenegro,"622,182"
North Macedonia,"2,077,132"
Albania,"2,862,427"
Serbia,"6,963,764"
Turkey,"82,003,882"
Andorra,"76,177"
Belarus,"9,475,174"
Bosnia,"3,492,018"
Kosovo,"1,795,666"
Moldova,"2,686,064"
Monaco,"38,300"
San Marino,"34,453"
Ukraine,"42,216,766"
Armenia,"2,972,732"
Azerbaijan,"9,898,085"
Georgia,"3,729,633"
